insert into attendance_detail values(1294, 1248, '10:55', '17:56');
insert into attendance_detail values(1990, 1915, '09:09', '17:51');
insert into attendance_detail values(1991, 1916, '09:00', '17:54');
insert into attendance_detail values(1992, 1917, '09:10', '17:55');
insert into attendance_detail values(1993, 1918, '09:09', '17:50');
insert into attendance_detail values(1994, 1919, '09:04', '17:57');
insert into attendance_detail values(1995, 1920, '09:07', '17:53');
insert into attendance_detail values(1996, 1921, '09:09', '17:53');
insert into attendance_detail values(1997, 1922, '09:03', '17:59');
insert into attendance_detail values(1998, 1923, '09:07', '17:57');
insert into attendance_detail values(1999, 1924, '09:05', '17:54');
insert into attendance_detail values(2000, 1925, '09:07', '17:59');
insert into attendance_detail values(2001, 1926, '09:08', '17:56');
insert into attendance_detail values(2002, 1927, '09:03', '17:52');
insert into attendance_detail values(2003, 1928, '09:04', '17:58');
insert into attendance_detail values(2004, 1929, '09:06', '17:55');
insert into attendance_detail values(2005, 1930, '09:06', '17:50');
insert into attendance_detail values(2006, 1931, '09:07', '17:53');
insert into attendance_detail values(2007, 1932, '09:02', '17:51');
insert into attendance_detail values(2008, 1933, '09:10', '17:52');
insert into attendance_detail values(2009, 1934, '09:05', '17:54');
insert into attendance_detail values(2010, 1935, '09:10', '17:55');
insert into attendance_detail values(2011, 1936, '09:03', '17:56');
insert into attendance_detail values(2013, 1938, '09:05', '17:55');
insert into attendance_detail values(2014, 1939, '09:07', '17:55');
insert into attendance_detail values(2015, 1940, '09:05', '17:55');
insert into attendance_detail values(2016, 1941, '09:10', '17:58');
insert into attendance_detail values(2017, 1942, '10:24', '15:35');
insert into attendance_detail values(2018, 1942, '16:42', '17:50');
insert into attendance_detail values(2019, 1943, '09:00', '17:50');
insert into attendance_detail values(2020, 1944, '09:03', '17:57');
insert into attendance_detail values(2021, 1945, '09:07', '17:53');
insert into attendance_detail values(2022, 1946, '09:02', '17:52');
insert into attendance_detail values(2023, 1947, '09:01', '17:59');
insert into attendance_detail values(2024, 1948, '09:00', '17:57');
insert into attendance_detail values(2025, 1949, '09:31', '14:11');
insert into attendance_detail values(2026, 1949, '15:52', '17:50');
insert into attendance_detail values(2027, 1950, '09:07', '17:56');
insert into attendance_detail values(2028, 1951, '09:06', '17:56');
insert into attendance_detail values(2029, 1952, '09:05', '17:54');
insert into attendance_detail values(2030, 1953, '09:04', '17:53');
insert into attendance_detail values(2031, 1954, '09:04', '17:52');
insert into attendance_detail values(2032, 1955, '09:01', '17:57');
insert into attendance_detail values(2033, 1956, '09:00', '17:56');
insert into attendance_detail values(2034, 1957, '10:45', '17:59');
insert into attendance_detail values(2035, 1958, '09:09', '17:51');
insert into attendance_detail values(2036, 1959, '09:54', '17:57');
insert into attendance_detail values(2037, 1960, '10:59', '17:53');
insert into attendance_detail values(2038, 1961, '09:01', '17:54');
insert into attendance_detail values(2039, 1962, '09:00', '17:55');
insert into attendance_detail values(2040, 1963, '09:00', '17:52');
insert into attendance_detail values(2041, 1964, '09:01', '17:55');
insert into attendance_detail values(2042, 1965, '10:57', '17:51');
insert into attendance_detail values(2043, 1966, '09:09', '17:56');
insert into attendance_detail values(2044, 1967, '09:09', '17:53');
insert into attendance_detail values(2045, 1968, '09:04', '17:51');
insert into attendance_detail values(2046, 1969, '10:38', '17:52');
insert into attendance_detail values(2047, 1970, '09:09', '17:59');
insert into attendance_detail values(2048, 1971, '09:08', '17:52');
insert into attendance_detail values(2049, 1972, '09:01', '17:55');
insert into attendance_detail values(2050, 1973, '09:05', '17:52');
insert into attendance_detail values(2051, 1974, '09:00', '17:59');
insert into attendance_detail values(2052, 1975, '09:06', '17:55');
insert into attendance_detail values(2053, 1976, '09:07', '17:59');
insert into attendance_detail values(2106, 2029, '09:00', '17:52');
insert into attendance_detail values(2107, 2030, '09:05', '17:59');
insert into attendance_detail values(2108, 2031, '09:03', '17:58');
insert into attendance_detail values(2109, 2032, '09:09', '17:53');
insert into attendance_detail values(2110, 2033, '09:09', '17:57');
insert into attendance_detail values(2111, 2034, '09:04', '17:53');
insert into attendance_detail values(2112, 2035, '09:00', '17:50');
insert into attendance_detail values(2113, 2036, '09:07', '17:52');
insert into attendance_detail values(2114, 2037, '09:06', '17:52');
insert into attendance_detail values(2115, 2038, '09:10', '17:57');
insert into attendance_detail values(2116, 2039, '10:29', '17:54');
insert into attendance_detail values(2117, 2040, '09:07', '17:55');
insert into attendance_detail values(2118, 2041, '09:02', '17:59');
insert into attendance_detail values(2119, 2042, '09:09', '17:59');
insert into attendance_detail values(2120, 2043, '09:06', '17:58');
insert into attendance_detail values(2121, 2044, '09:07', '17:51');
insert into attendance_detail values(2122, 2045, '09:06', '17:55');
insert into attendance_detail values(2123, 2046, '09:10', '17:59');
insert into attendance_detail values(2124, 2047, '10:27', '17:58');
insert into attendance_detail values(2125, 2048, '09:10', '17:52');
insert into attendance_detail values(2126, 2049, '10:24', '17:53');
insert into attendance_detail values(2127, 2050, '09:01', '17:55');
insert into attendance_detail values(27, 27, '09:03', '17:55');
insert into attendance_detail values(28, 28, '10:59', '12:22');
insert into attendance_detail values(29, 29, '10:57', '11:47');
insert into attendance_detail values(30, 29, '12:36', '17:50');
insert into attendance_detail values(31, 30, '09:08', '17:56');
insert into attendance_detail values(32, 31, '09:02', '17:53');
insert into attendance_detail values(33, 32, '09:58', '17:56');
insert into attendance_detail values(34, 33, '09:01', '17:54');
insert into attendance_detail values(35, 34, '09:07', '17:56');
insert into attendance_detail values(36, 35, '09:01', '17:52');
insert into attendance_detail values(37, 36, '09:01', '17:54');
insert into attendance_detail values(38, 37, '09:02', '17:50');
insert into attendance_detail values(39, 38, '09:09', '17:57');
insert into attendance_detail values(40, 39, '09:02', '17:55');
insert into attendance_detail values(41, 40, '09:00', '17:56');
insert into attendance_detail values(42, 41, '09:09', '17:56');
insert into attendance_detail values(43, 42, '09:04', '17:50');
insert into attendance_detail values(44, 43, '09:08', '17:52');
insert into attendance_detail values(45, 44, '09:09', '17:53');
insert into attendance_detail values(46, 45, '09:10', '17:53');
insert into attendance_detail values(47, 46, '10:13', '17:59');
insert into attendance_detail values(48, 47, '09:02', '17:53');
insert into attendance_detail values(49, 48, '09:07', '17:54');
insert into attendance_detail values(50, 49, '09:02', '17:57');
insert into attendance_detail values(51, 50, '09:08', '17:53');
insert into attendance_detail values(52, 51, '09:04', '17:52');
insert into attendance_detail values(53, 52, '09:02', '17:53');
insert into attendance_detail values(54, 53, '09:33', '17:52');
insert into attendance_detail values(55, 54, '09:02', '17:53');
insert into attendance_detail values(56, 55, '09:07', '17:52');
insert into attendance_detail values(57, 56, '09:44', '15:21');
insert into attendance_detail values(58, 56, '16:54', '17:55');
insert into attendance_detail values(59, 57, '09:08', '17:54');
insert into attendance_detail values(60, 58, '09:02', '17:57');
insert into attendance_detail values(61, 59, '09:01', '17:50');
insert into attendance_detail values(62, 60, '09:04', '17:54');
insert into attendance_detail values(63, 61, '09:24', '17:53');
insert into attendance_detail values(64, 62, '09:04', '17:53');
insert into attendance_detail values(65, 63, '09:03', '17:59');
insert into attendance_detail values(66, 64, '09:10', '17:56');
insert into attendance_detail values(67, 65, '09:02', '17:54');
insert into attendance_detail values(68, 66, '10:25', '14:39');
insert into attendance_detail values(69, 66, '15:31', '17:56');
insert into attendance_detail values(70, 67, '09:00', '17:55');
insert into attendance_detail values(71, 68, '10:48', '14:26');
insert into attendance_detail values(72, 68, '15:43', '17:58');
insert into attendance_detail values(73, 69, '09:03', '17:56');
insert into attendance_detail values(74, 70, '09:36', '17:59');
insert into attendance_detail values(75, 71, '09:08', '17:56');
insert into attendance_detail values(76, 72, '09:01', '17:51');
insert into attendance_detail values(77, 73, '09:00', '17:52');
insert into attendance_detail values(78, 74, '09:01', '17:50');
insert into attendance_detail values(79, 75, '09:01', '17:51');
insert into attendance_detail values(80, 76, '09:05', '17:50');
insert into attendance_detail values(81, 77, '09:02', '17:57');
insert into attendance_detail values(82, 78, '09:08', '17:58');
insert into attendance_detail values(83, 79, '09:09', '17:55');
insert into attendance_detail values(84, 80, '09:01', '17:52');
insert into attendance_detail values(85, 81, '09:05', '17:55');
insert into attendance_detail values(86, 82, '09:10', '17:56');
insert into attendance_detail values(87, 83, '09:01', '17:58');
insert into attendance_detail values(88, 84, '10:19', '17:59');
insert into attendance_detail values(89, 85, '09:09', '17:51');
insert into attendance_detail values(90, 86, '09:09', '17:55');
insert into attendance_detail values(91, 87, '09:10', '17:50');
insert into attendance_detail values(92, 88, '09:08', '17:58');
insert into attendance_detail values(93, 89, '09:06', '17:50');
insert into attendance_detail values(94, 90, '10:21', '12:51');
insert into attendance_detail values(95, 90, '13:53', '17:58');
insert into attendance_detail values(96, 91, '09:02', '17:53');
insert into attendance_detail values(97, 92, '09:01', '17:51');
insert into attendance_detail values(98, 93, '09:10', '17:54');
insert into attendance_detail values(99, 94, '09:00', '17:55');
insert into attendance_detail values(100, 95, '09:10', '17:59');
insert into attendance_detail values(101, 96, '09:05', '17:59');
insert into attendance_detail values(102, 97, '09:04', '17:55');
insert into attendance_detail values(103, 98, '09:09', '17:57');
insert into attendance_detail values(104, 99, '09:01', '17:51');
insert into attendance_detail values(105, 100, '09:10', '17:54');
insert into attendance_detail values(106, 101, '10:44', '17:56');
insert into attendance_detail values(107, 102, '09:05', '17:52');
insert into attendance_detail values(108, 103, '09:02', '17:52');
insert into attendance_detail values(109, 104, '09:04', '17:51');
insert into attendance_detail values(110, 105, '09:03', '17:58');
insert into attendance_detail values(111, 106, '09:00', '17:51');
insert into attendance_detail values(112, 107, '09:03', '17:58');
insert into attendance_detail values(113, 108, '09:26', '17:59');
insert into attendance_detail values(114, 109, '09:05', '17:54');
insert into attendance_detail values(115, 110, '09:02', '17:54');
insert into attendance_detail values(116, 111, '09:04', '17:55');
insert into attendance_detail values(117, 112, '10:36', '12:41');
insert into attendance_detail values(118, 112, '13:49', '17:59');
insert into attendance_detail values(119, 113, '09:05', '17:55');
insert into attendance_detail values(120, 114, '09:00', '17:54');
insert into attendance_detail values(121, 115, '09:00', '17:52');
insert into attendance_detail values(122, 116, '09:04', '17:52');
insert into attendance_detail values(123, 117, '09:03', '17:55');
insert into attendance_detail values(124, 118, '09:01', '17:51');
insert into attendance_detail values(125, 119, '09:29', '17:55');
insert into attendance_detail values(126, 120, '09:03', '14:17');
insert into attendance_detail values(127, 120, '15:44', '17:56');
